step	X1		X2
----------------------------------------
0	1.000000	0.000000
1	0.500000	0.500000
2	0.625000	0.507812
3	0.640625	0.515625
4	0.656250	0.539062
5	0.703125	0.593750
6	0.796875	0.710938
7	0.968750	0.953125
8	0.972656	0.960938
9	0.984375	0.976562
10	1.003906	1.007812
11	1.004883	1.007324
12	1.003906	1.006836
13	1.002930	1.005371
14	1.000977	1.001953
15	1.001221	1.001831
16	1.000977	1.001709
17	1.000732	1.001343
18	1.000244	1.000488
19	1.000305	1.000458
20	1.000244	1.000427
21	1.000183	1.000336
22	1.000061	1.000122
23	1.000076	1.000114
24	1.000061	1.000107
25	1.000046	1.000084
26	1.000015	1.000031
27	1.000019	1.000029
28	1.000015	1.000027
29	1.000011	1.000021
30	1.000004	1.000008
31	1.000004	1.000006
32	1.000003	1.000004
33	1.000000	1.000000
